Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
Dove 2p-9,USA,Commercial,Earth Observation,LEO,0,500,514,0.00102,97.51,94.77,4,6/22/2016,,116,,,
Dove 2p-10,USA,Commercial,Earth Observation,LEO,0,500,513,0.000945,97.51,94.76,4,6/22/2016,,117,,,
Dove 2p-11,USA,Commercial,Earth Observation,LEO,0,496,518,0.0016,97.51,94.77,4,6/22/2016,,118,,,
Dove 2p-12,USA,Commercial,Earth Observation,LEO,0,499,514,0.00109,97.51,94.75,4,6/22/2016,,119,,,
Dove-3,USA,Commercial,Technology Development,LEO,0,594,815,0.0156,97.7,98.8,4,11/21/2013,,120,,,
GRIFEX,USA,Government/Civil,Technology Development,LEO,0,441,659,0.0158,99.1,95.5,4,1/31/2015,,121,,,
Lemur-1,USA,Commercial,Technology Development,LEO,0,612,697,0.00605,97.98,97.82,4,6/19/2014,,122,,,
S-Cube,Japan,Civil,Technology Development,LEO,,397,408,0.000812,51.64,92.61,4,9/17/2015,,123,,,
STRaND-1,United Kingdom,Commercial,Technology Development,LEO,0,772,783,0.000769,98.6,100.4,4,2/25/2013,,124,,,
Velox 1,Singapore,Civil,Technology Development,LEO,0,642,655,0.000926,98.25,97.7,4,6/30/2014,,125,,,
ZP-1B,China,Civil,Space Science,LEO,0,619,653,0.00243,97.9,97.4,4,9/22/2010,,126,,,
ZP-1C,China,Civil,Space Science,LEO,0,620,653,0.00235,97.9,97.5,4,9/22/2010,,127,,,
Aerocube 4.5A,USA,Commercial,Technology Development,LEO,0,495,791,0.0211,64.6,97.5,5,9/13/2012,,128,,,
Aerocube 4.5B,USA,Commercial,Technology Development,LEO,0,499,792,0.0209,64.6,97.6,5,9/13/2012,,129,,,
Aerocube 5A,USA,Commercial,Technology Development,LEO,0,443,886,0.0315,120.3,98,5,12/6/2013,2,130,,,
Aerocube 5B,USA,Commercial,Technology Development,LEO,0,443,886,0.0315,120.3,98,5,12/6/2013,2,131,,,
Aerocube 6A,USA,Commercial,Technology Development,LEO,0,614,700,0.00612,97.98,97.88,5,6/19/2014,3,132,,,
Aerocube 6B,USA,Commercial,Technology Development,LEO,0,614,700,0.00612,97.98,97.88,5,6/19/2014,3,133,,,
Aerocube 8A,USA,Commercial,Technology Development,LEO,0,356,700,0.0249,55,95.19,5,5/20/2015,,134,,,
Aerocube 8B,USA,Commercial,Technology Development,LEO,0,356,700,0.0249,55,95.19,5,5/20/2015,,135,,,
ALiCE,USA,Military,Technology Development,LEO,0,443,886,0.0315,120.3,98,5,12/6/2013,,136,,,
GATOSS,Denmark,Commercial,Technology Development,LEO,0,593,819,0.016,97.7,98.9,5,11/21/2013,,137,,,
ParkinsonSat-1,USA,Civil,Technology Development,LEO,0,356,700,0.0249,55,95.19,5,5/20/2015,,138,,,
Prism,Japan,Civil,Earth Observation,LEO,0,600,627,0.00193,98.2,97,5,1/23/2009,,139,,,
SMDC-ONE 1.1,USA,Military,Technology Development,LEO,0,495,791,0.0211,64.6,97.5,5,9/13/2012,,140,,,
SMDC-ONE 2.3,USA,Military,Technology Development,LEO,0,443,886,0.0315,120.3,98,5,12/6/2013,,141,,,
SMDC-ONE 2.4,USA,Military,Technology Development,LEO,0,443,886,0.0315,120.3,98,5,12/6/2013,,142,,,
SNaP-3 Alice,USA,Military,Technology Development,LEO,0,495,801,0.0218,64.78,97.68,5,10/8/2015,,143,,,
SNaP-3 Eddie,USA,Military,Technology Development,LEO,0,496,801,0.0217,64.78,97.69,5,,,144,,,
SNaP-3 Jimi,USA,Military,Technology Development,LEO,0,495,801,0.0218,64.78,97.67,5,,,145,,,
TW-1C,China,Civil,Technology Development,LEO,0,466,486,0.00146,97.31,94.12,5,9/24/2015,,146,,,
AISSat-1,Norway,Government,Communications,LEO,0,615,632,0.00122,98,97.2,6,7/12/2010,3,147,,,
AISSat-2,Norway,Government,Communications,LEO,0,625,631,0.000429,98.4,97.27,6,7/8/2014,3,148,,,
Athenoxat-1,Singapore,Commercial,Technology Development,LEO,0,532,550,0.0013,14.98,95.46,6,12/16/2015,,149,,,
exactView 9,Canada,Commercial,Communications,LEO,0,630,649,0.00136,6,97.5,6,9/28/2015,,150,,,
USA 219,USA,Government/Civil,Space Science,LEO,0,624,654,0.00214,71.97,97.48,6,11/20/2010,0.5,151,,,
Perseus M2,Russia/USA,Commerical,Communications,LEO,0,606,624,0.00129,97.99,96.99,6,6/19/2014,,153,,,
Delfi-C3,Netherlands,Civil,Technology Development,LEO,0,598,616,0.00129,97.8,96.8,7,4/28/2008,,154,,,
Horyu-2,Japan,Civil,Technology Development,LEO,0,650,669,0.00135,98.2,97.9,7,5/17/2012,1 yr.,155,,,
Kukai,Japan,Civil,Technology Development,LEO,0,647,667,0.00142,98.03,97.88,7,1/23/2009,,156,,,
SPROUT,Japan,Civil,Technology Development,LEO,0,614,629,0.00107,97.87,97.13,7,5/24/2014,,157,,,
BRITE-CA-1,Canada,Civil,Space Science,LEO,0,613,739,0.00894,97.97,98.27,10,6/19/2014,,158,,,
BRITE-PL-1,Multinational,Government,Space Science,LEO,0,594,886,0.0205,97.7,99.6,10,11/21/2013,2,159,,,
BRITE-PL-2,Multinational,Government,Space Science,LEO,0,610,633,0.00164,98.02,97.1,10,8/19/2014,2,160,,,
GEARRSAT-2,USA,Government,Technology Development,LEO,0,356,700,0.0249,55,95,10,5/20/2015,,161,,,
Horyu-4,Japan,Civil,Technology Development,LEO,0,557,579,0.00159,31,96,10,2/17/2016,1 yr.,162,,,
Lemur-2 Chris,USA,Commercial,Earth Observation,LEO,0,635,649,0.000998,6,97.57,10,9/28/2015,,163,,,
Lemur-2Jeroen,USA,Commercial,Earth Observation,LEO,0,635,649,0.000998,6.01,97.57,10,9/28/2015,,164,,,
Lemur-2 Joel,USA,Commercial,Earth Observation,LEO,0,629,649,0.00143,6,97.49,10,9/28/2015,,165,,,
Lemur-2 Peter,USA,Commercial,Earth Observation,LEO,0,634,650,0.00114,6.01,97.56,10,9/28/2015,,166,,,
Prototype Communications SATellite (PCSat),USA,Government,Communications/Technology Development,LEO,0,789,796,0.000489,67,100.7,10,9/30/2001,5,167,,,
Saudisat 1C,Saudi Arabia,Government,Communications,LEO,0,603,702,0.00705,64.6,97.8,10,12/20/2002,,168,,,
WNISat-1,Japan,Commercial,Earth Observation,LEO,0,594,849,0.018,97.8,99.2,10,11/21/2013,2,169,,,
XW-2B,China,Civil,Communications,LEO,0,520,539,0.00138,97.46,95.22,10,9/19/2015,,170,,,
XW-2C,China,Civil,Communications,LEO,0,519,538,0.00138,97.46,95.21,10,9/19/2015,,171,,,
XW-2D,China,Civil,Communications,LEO,0,520,539,0.00138,97.46,95.22,10,9/19/2015,,172,,,
LilacSat-2,China,Civil,Technology Development,LEO,0,520,541,0.00152,97.47,95.24,11,9/19/2015,,173,,,
