Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
Meridian-4,Russia,Military,Communications,Elliptical,0,1722,38637,0.695,64.47,717.88,2500,5/4/2011,,866,,,
Meridian-6,Russia,Military,Communications,Elliptical,0,1494,38860,0.704,63.77,718.04,2500,11/14/2012,7,867,,,
Meridian-7,Russia,Military,Communications,Elliptical,0,962,39398,0.724,62.82,717.88,2500,10/30/2014,7,868,,,
Raduga 1-M2,Russia,Military,Communications,GEO,70,35784,35788,4.74E-05,0.01,1436.06,2500,1/28/2010,5,869,,,
Tianhui 1-01,China,Government,Earth Observation,LEO,0,488,504,0.00117,97.4,94.5,2500,8/24/2010,,870,,,
Tianhui 1-02,China,Government,Earth Observation,LEO,0,485,505,0.00146,97.4,94.5,2500,5/6/2012,,871,,,
Tianhui 1-03,China,Government,Earth Observation,LEO,0,489,500,0.000801,97.36,94.5,2500,10/26/2015,,872,,,
Optus D3,Australia,Commercial,Communications,GEO,155.98,35775,35795,0.000237,0.04,1436.04,2501,8/21/2009,15,873,,,
Express-AM44,Russia,Commercial,Communications,GEO,-11,35987,35995,9.44E-05,0.11,1446.57,2532,2/11/2009,12,874,,,
Express-AM2,Russia,Commercial,Communications,GEO,145,35785,35788,3.56E-05,0.04,1436.1,2542,3/29/2005,12,875,,,
Intelsat 15,USA,Commercial,Communications,GEO,85,35776,35798,0.000261,0.05,1436.12,2550,11/30/2009,17,876,,,
Intelsat APR-2,USA,Commercial,Communications,GEO,83.03,35769,35804,0.000415,0.18,1436.11,2550,4/3/1999,12,877,,,
Sicral 1A,Italy,Military,Communications,GEO,16.25,35769,35802,0.000391,1.01,1436.06,2596,2/7/2001,12-Oct,878,,,
Express AM-22,Russia/Multinational,Commercial,Communications,GEO,53.04,35781,35790,0.000107,0.02,1436.06,2600,12/28/2003,12,879,,,
Express-A1R,Russia,Commercial,Communications,GEO,13.97,35774,35798,0.000285,0.02,1436.1,2600,6/10/2002,10-Jul,880,,,
Express-AM3,Russia,Commercial,Communications,GEO,103,35777,35795,0.000213,0.09,1436.1,2600,6/24/2005,12,881,,,
Express-AM33,Russia,Commercial,Communications,GEO,96.53,35782,35791,0.000107,0.05,1436.1,2600,1/28/2008,12,882,,,
Vinasat 1,Vietnam,Government,Communications,GEO,131.97,35782,35791,0.000107,0.02,1436.1,2600,4/18/2008,15,883,,,
Ziyan 3-2,China,Government,Earth Observation,LEO,0,487,500,0.000947,97.5,94.49,2630,5/29/2016,4,884,,,
AMC-2,USA,Commercial,Communications,GEO,-100.98,35774,35798,0.000285,0.05,1436.1,2648,1/30/1997,15,885,,,
Data Relay Test Satellite (DRTS),Japan,Government,Technology Development,GEO,90.77,35775,35799,0.000285,0.02,1436.12,2650,9/10/2002,7,886,,,
GSAT-7,India,Military,Communications,GEO,74,35757,35814,0.000676,0.19,1436,2650,8/29/2013,7,887,,,
Ziyuan 3,China,Government,Earth Observation,LEO,0,500,504,0.000291,97.5,94.7,2650,1/9/2012,4,888,,,
Eutelsat 12 West A,Multinational,Commercial,Communications,GEO,-12.43,35768,35805,0.000439,0.11,1436.1,2700,8/28/2002,15,889,,,
Express AMU1,Russia,Commercial,Communications,GEO,36,35792,35795,3.56E-05,0.1,1436.1,2700,12/24/2015,15,890,,,
Yaogan 30,China,Military,Earth Observation,LEO,0,628,656,0.002,98.07,97.57,2700,5/15/2016,,891,,,
Yaogan 4,China,Government,Earth Observation,LEO,0,635,658,0.00164,97.8,97.7,2700,12/1/2008,,892,,,
Yaogan 7,China,Government,Earth Observation,LEO,0,628,665,0.00264,98,97.7,2700,12/9/2009,,893,,,
Afristar ,USA,Commercial,Communications,GEO,20.97,35770,35802,0.00038,0.03,1436.09,2704,10/28/1998,15,894,,,
Intelsat 5,USA,Commercial,Communications,GEO,26.11,35774,35798,0.000285,0.03,1436.09,2730,8/28/1997,15,895,,,
Landsat 7,USA,Government,Earth Observation,LEO,0,702,703,7.07E-05,98.2,98.8,2744,4/15/1999,15,896,,,
INSAT 3C,India,Government,Communications,GEO,74.08,35764,35809,0.000534,0.04,1436.1,2750,1/23/2002,12,897,,,
Telkom 1,Indonesia,Commercial,Communications,GEO,108.01,35778,35796,0.000213,0.02,1436.13,2763,8/12/1999,15,898,,,
AsiaStar,USA,Commercial,Communications,GEO,104.97,35773,35801,0.000332,0.02,1436.15,2775,3/21/2000,15,899,,,
Meteor-M N-2,Russia,Government,Earth Observation,LEO,0,819,828,0.000626,98.81,101.3,2778,7/8/2014,5,900,,,
Landsat 8,USA,Government,Earth Observation,LEO,0,700,705,0.000353,98.2,98.8,2780,2/11/2013,5,901,,,
AMC-1,USA,Commercial,Communications,GEO,-103.02,35772,35800,0.000332,0.03,1436.1,2783,9/8/1996,15,902,,,
Thaicom-5,Thailand,Commercial,Communications,GEO,78.54,35777,35796,0.000225,0.04,1436.1,2800,5/27/2006,12,903,,,
Worldview 2,USA,Commercial,Earth Observation,LEO,0,765,767,0.00014,98.5,100.2,2800,10/8/2009,,904,,,
Worldview 3,USA,Commercial,Earth Observation,LEO,0,612,614,0.000143,97.99,96.96,2800,8/13/2014,12-Oct,905,,,
AMC-3,USA,Commercial,Communications,GEO,-86.96,35777,35795,0.000213,0.02,1436.08,2845,9/4/1997,15,906,,,
Koreasat 6,South Korea,Commercial,Communications,GEO,116,35780,35794,0.000166,0.05,1436.12,2850,12/29/2010,15,907,,,
MSAT 1,USA/Canada,Commercial,Communications,GEO,-106.43,35763,35809,0.000546,1.37,1436.09,2850,4/20/1996,12,908,,,
MSAT 2,USA/Canada,Commercial,Communications,GEO,-101.21,35776,35796,0.000237,4.02,1436.09,2850,4/7/1995,10,909,,,
Optus B3 ,Australia,Commercial,Communications,GEO,164,35778,35796,0.000213,0.02,1436.12,2858,8/28/1994,14-Oct,910,,,
ABS-6,Multinational,Commercial,Communications,GEO,159,35777,35794,0.000202,0.01,1436.08,2894,9/26/1999,15,911,,,
JCSat 4A,Japan,Commercial,Communications,GEO,123.85,33782,37768,0.0473,0.07,1435.52,2900,2/15/1999,14.5,912,,,
Mexsat-3,Mexico,Government/Military,Communications,GEO,-114.9,35784,35791,8.30E-05,0.07,1436.16,2900,12/19/2012,15,913,,,
MTSAT-2,Japan,Government,Earth Observation,GEO,145.06,35776,35797,0.000249,0.01,1436.1,2900,2/18/2006,5,914,,,
BSAT-3C/JCSat 110-R,Japan,Commercial,Communications,GEO,110,35784,35787,3.56E-05,0.05,1436.04,2910,8/6/2011,15,915,,,
Eutelsat 48A,Multinational,Commercial,Communications,GEO,9.08,35757,35815,0.000688,0.08,1436.07,2915,11/21/1996,14,916,,,
Astra 1D,Luxembourg,Commercial,Communications,GEO,-67.6,35776,35795,0.000225,1.15,1436.08,2924,11/1/1994,15,917,,,
Radarsat-2,Canada,Commercial,Earth Observation,LEO,0,791,793,0.00014,98.6,100.7,2924,12/14/2007,7,918,,,
Aqua,USA/Japan/Brazil,Government,Earth Observation,LEO,0,701,704,0.000212,98.2,98.8,2934,5/4/2002,6,919,,,
Amazonas-4A,Spain,Commercial,Communications,GEO,-61,35784,35795,0.00013,0.08,1436.24,2938,3/22/2014,15,920,,,
Eutelsat 33C,Multinational,Commercial,Communications,GEO,33,35788,35794,7.12E-05,0.07,1436.1,2950,3/8/2001,12,921,,,
INSAT 3A,India,Government,Earth Observation,GEO,93.53,35780,35793,0.000154,0,1436.1,2950,4/9/2003,12,922,,,
Aura,USA,Government,Earth Observation,LEO,0,702,703,7.07E-05,98.2,98.8,2967,7/15/2004,5,923,,,
Vinasat 2,Vietnam,Government,Communications,GEO,131.8,35742,35776,0.000404,0.08,1434.69,2970,5/15/2012,15,924,,,
Yamal-401,Russia,Commercial,Communications,GEO,90,35761,35822,0.000723,0.03,1436.33,2976,12/15/2014,15,925,,,
ArSat 2,Argentina,Commercial,Communications,GEO,-81,35786,35801,0.000178,0.01,1436.06,2977,9/30/2015,15,926,,,
JCSat 1B,Japan,Commercial,Communications,GEO,128.03,35778,35794,0.00019,0.01,1436.09,2982,12/2/1997,12,927,,,
Apstar 9A,China,Commercial,Communications,GEO,87.68,35778,35795,0.000202,0.02,1436.12,3000,5/30/1998,15,928,,,
ArSat 1,Argentina,Commercial,Communications,GEO,-71.8,35778,35795,0.000202,0.01,1436.07,3000,10/16/2014,15,929,,,
Intelsat New Dawn,USA,Commercial,Communications,GEO,32.8,35800,35892,0.00109,0.05,1439.15,3000,4/22/2011,15,930,,,
Astra 1F,Luxembourg,Commercial,Communications,GEO,19.22,35778,35797,0.000225,0.03,1436.15,3010,4/18/1996,15,931,,,
Palapa C2,Indonesia,Commercial,Communications,GEO,112.99,35784,35789,5.93E-05,0.05,1436.13,3014,5/15/1996,15,932,,,
Thaicom-8,Thailand,Commercial,Communications,GEO,78.5,35843,35890,0.000556,0.03,1440.09,3025,5/27/2016,15,933,,,
INSAT 4B,India,Government,Communications,GEO,93.48,35760,35811,0.000605,0.04,1436.08,3028,3/11/2007,,934,,,
Sicral 1B,Italy,Military/Commercial,Communications,GEO,11.8,35788,35802,0.000166,0.04,1436.52,3038,4/20/2009,12-Oct,935,,,
Rascom-QAF 1R,Multinational,Commercial,Communications,GEO,2.85,35786,35787,1.19E-05,0.01,1436.1,3050,8/4/2010,15,936,,,
Thor-6,Norway,Commercial,Communications,GEO,-1,35779,35794,0.000178,0.02,1436.1,3050,10/29/2009,15,937,,,
Athena-Fidus,France/Italy,Government/Military,Communications,GEO,25,35784,35788,4.74E-05,0.05,1436.06,3080,2/6/2014,15,938,,,
GSAT-8,India,Government,Communications/Navigation,GEO,55,35782,35796,0.000166,0.09,1436.23,3093,5/20/2011,12,939,,,
INSAT 4A,India,Government,Communications,GEO,83.08,35777,35796,0.000225,0.03,1436.1,3100,12/21/2005,12,940,,,
SDO,USA,Government,Space Science,GEO,-102,35779,35791,0.000142,28,1436.03,3100,2/11/2010,5,941,,,
Turksat 3A,Turkey,Commercial,Communications,GEO,42.04,35778,35793,0.000178,0.01,1436.06,3100,6/12/2008,,942,,,
Advanced Data Relay and Technology Mission Satellite (Artemis) ,ESA,Commercial/Government,Communications/Technology Development,GEO,21.36,35771,35803,0.00038,7.03,1436.12,3105,7/12/2001,10,943,,,
Hispasat 1C,Spain,Commercial/Gov/Mil,Communications,GEO,-29.93,35764,35808,0.000522,0.03,1436.08,3112,2/4/2000,15,944,,,
SES-3,USA,Commercial,Communications,GEO,-103,35850,35852,2.37E-05,0.05,1439.41,3112,7/15/2011,15,945,,,
JCSat R,USA,Commercial,Communications,GEO,50,35779,35794,0.000178,0.02,1436.1,3124,2/16/1997,12,946,,,
SES-8,USA,Commercial,Communications,GEO,95,35777,35795,0.000213,0.02,1436.07,3138,12/3/2013,15,947,,,
Eutelsat 8 West A,Multinational,Commercial,Communications,GEO,-12.5,35766,35806,0.000474,0.06,1436.1,3150,9/25/2001,15,948,,,
GSAT-15,India,Government,Communications,GEO,93.5,35782,35805,0.000273,0.1,1436.1,3164,1/10/2015,12,949,,,
Eutelsat 33B,Multinational,Commercial,Communications,GEO,25.5,35780,35790,0.000119,0.02,1436.04,3170,11/20/2002,12,950,,,
GOES-15,USA,Government,Earth Observation,GEO,-89.43,35786,35788,2.37E-05,0.42,1436.14,3175,3/4/2010,10,951,,,
Sky Mexico-1,Mexico,Commercial,Communications,GEO,-79,35788,35800,0.000142,0,1436,3180,5/27/2015,18,952,,,
TDRS-10,USA,Government,Communications,GEO,-40.75,35768,35802,0.000403,1.64,1436.04,3180,12/4/2002,11,953,,,
TDRS-3,USA,Government,Communications,GEO,84.41,35693,35878,0.00219,11.53,1436.06,3180,9/29/1988,10,954,,,
TDRS-5,USA,Government/Commercial,Communications,GEO,-167.14,35773,35796,0.000273,9.4,1436.99,3180,8/2/1991,10,955,,,
TDRS-6,USA,Government/Commercial,Communications,GEO,-171.35,35773,35787,0.000166,8.74,1435.7,3180,1/13/1993,10,956,,,
TDRS-7,USA,Government,Communications,GEO,-150.53,35767,35803,0.000427,10.6,1436.04,3180,7/13/1995,10,957,,,
TDRS-8,USA,Government,Communications,GEO,88.76,35768,35808,0.000474,0.9,1436.2,3180,6/30/2000,11,958,,,
TDRS-9,USA,Government,Communications,GEO,-62.43,35768,35809,0.000486,0.02,1436.11,3180,3/8/2002,11,959,,,
GSAT-16,India,Government,Communications,GEO,55,35776,35798,0.000261,0.18,1436.1,3181,12/6/2014,15,960,,,
Eutelsat 36A,Multinational,Commercial,Communications,GEO,36.09,35766,35806,0.000474,0.07,1436.08,3190,5/24/2000,12,961,,,
GOES-13,USA,Government,Earth Observation,GEO,-104.77,35768,35801,0.000391,0.28,1436,3200,5/24/2006,7,962,,,
Intelsat 18,USA,Commercial,Communications,GEO,180,35775,35797,0.000261,0.01,1436.09,3200,10/5/2011,15,964,,,
Intelsat 23,USA,Commercial,Communications,GEO,307,35781,35797,0.00019,0.03,1436.21,3200,10/14/2012,15-18,965,,,
Nilesat 201,Egypt,Government,Communications,GEO,-7,35795,35813,0.000213,0.05,1436.23,3200,8/4/2010,15,966,,,
SES-2,USA,Commercial,Communications,GEO,-87,35778,35798,0.000237,0.01,1436.19,3200,9/21/2011,15-18,967,,,
Cosmos 2428,Russia,Military,Earth Observation,LEO,0,844,858,0.000969,71,102,3200,6/29/2007,,968,,,
USA 146,USA,Military,Communications,GEO,72.67,35738,35834,0.00114,1.97,1436.1,3200,11/24/1999,4,969,,,
USA 174,USA,Military,Communications,GEO,71.44,35786,35787,1.19E-05,2.16,1436.1,3200,12/18/2003,4,970,,,
USA 95,USA,Military,Communications,GEO,28.79,35766,35807,0.000486,8.27,1436.12,3200,9/3/1993,,971,,,
USA 108,USA,Military,Communications,GEO,-177.12,35763,35775,0.000142,3.34,1435.22,3200,1/29/1995,4,972,,,
USA 114,USA,Military,Communications,GEO,-105.5,35744,35829,0.00101,4.11,1436.12,3200,10/22/1995,4,973,,,
USA 127,USA,Military,Communications,GEO,-21.91,35738,35835,0.00115,3.79,1436.11,3200,7/25/1996,4,974,,,
USA 138,USA,Military,Communications,GEO,172.28,35772,35794,0.000261,5.24,1435.94,3206,3/16/1998,4,975,,,
Star 1 C3,Brazil,Commercial,Communications,GEO,-75,35791,35848,0.000676,0.02,1437.78,3225,11/10/2012,15,976,,,
Azerspace/Africasat-1a,Azerbaijan,Government,Communications,GEO,46,35778,35794,0.00019,0.04,1436.08,3250,2/7/2013,15,977,,,
Optus 10,Australia,Commercial,Communications,GEO,164,35772,35802,0.000356,0.05,1436.11,3270,9/11/2014,15,978,,,
Echostar 1 ,Mexico,Commercial,Communications,GEO,77.15,35776,35795,0.000225,0.01,1436.07,3287,12/28/1995,12,979,,,
Hispasat 1D,Spain,Commercial/Gov/Mil,Communications,GEO,-29.95,35764,35809,0.000534,0.02,1436.11,3288,9/18/2002,15,980,,,
HellasSat 2,Greece,Commercial,Communications,GEO,39.06,35769,35803,0.000403,0.01,1436.08,3300,5/12/2003,15,981,,,
Intelsat 34,USA,Commercial,Communications,GEO,304.5,35777,35811,0.000403,0.1,1436.1,3300,8/20/2015,15,982,,,
Badr 4,Multinational,Government,Communications,GEO,26.02,35780,35791,0.00013,0.07,1436.06,3304,11/8/2006,15,983,,,
HYLAS 2,United Kingdom,Commercial,Communications,GEO,33.5,35775,35799,0.000285,0.06,1436.14,3311,8/2/2012,15,984,,,
Astra 2B,Luxembourg,Commercial,Communications,GEO,31.33,35772,35801,0.000344,0.07,1436.11,3315,9/14/2000,14yrs.,985,,,
Thaicom-6,Thailand,Commercial,Communications,GEO,78.5,35786,35796,0.000119,0.05,1436.3,3325,1/6/2014,15,986,,,
Express-AM6,Russia,Commercial,Communications,GEO,53,34094,37636,0.0419,0.53,1440.09,3358,10/21/2014,15,987,,,
Astra 1G,Luxembourg,Commercial,Communications,GEO,19.24,35780,35791,0.00013,0.04,1436.08,3379,12/2/1997,15,988,,,
Badr 6,Multinational,Government,Communications,GEO,26.08,35768,35805,0.000439,0.05,1436.1,3400,7/7/2008,15,989,,,
Express-AM5,Russia,Commercial,Communications,GEO,140,35420,35940,0.00618,0.08,1430.6,3400,12/26/2013,15,990,,,
GSAT-10,India,Government,Communications,GEO,83,35777,35795,0.000213,0.06,1436.07,3400,9/28/2012,15,991,,,
NSS-5,Netherlands,Commercial,Communications,GEO,-177,35776,35796,0.000237,0,1436.08,3412,9/23/1997,14,992,,,
DirecTV-1R,Russia,Commercial,Communications,GEO,55.9,35778,35795,0.000202,0.03,1436.1,3420,10/10/1999,15,993,,,
Intelsat 805,USA,Commercial,Communications,GEO,-55.49,35775,35797,0.000261,0.01,1436.08,3420,6/18/1998,14,994,,,
TDRS-11,USA,Government,Communications,GEO,-171,35732,35844,0.00133,7,1436.18,3454,1/31/2013,15,995,,,
TDRS-12,USA,Government,Communications,GEO,,35780,35785,5.93E-05,6.99,1435.88,3454,1/23/2014,15,996,,,
Eutelsat 28B,Multinational,Commercial,Communications,GEO,48,35764,35808,0.000522,0.12,1436.08,3460,12/20/2008,15,997,,,
AsiaSat-3S,China,Commercial,Communications,GEO,105.55,35780,35792,0.000142,0.02,1436.07,3480,3/21/1999,15,998,,,
ABS-7,Multinational,Commercial,Communications,GEO,116.18,35780,35791,0.00013,0.01,1436.06,3500,9/4/1999,15,999,,,
Himawari 8,Japan,Government,Earth Observation,GEO,140,35774,35797,0.000273,0.08,1436.06,3500,10/7/2014,8,1000,,,
Galaxy-25,USA,Commercial,Communications,GEO,-93.09,35771,35801,0.000356,0.03,1436.08,3515,5/24/1997,13,1001,,,
JCSat 110,Japan,Commercial,Communications,GEO,110.1,35784,35789,5.93E-05,0.01,1436.11,3531,10/7/2000,15,1002,,,
Eurasiasat 1,Turkey/France,Commercial,Communications,GEO,42.08,35761,35810,0.000581,0.02,1436.06,3535,1/10/2001,15,1003,,,
BRISat,Indonesia,Commercial,Communications,GEO,150.5,35702,35876,0.00206,0.07,1436.2,3540,6/19/2016,15,1004,,,
NSS-11,Netherlands,Commercial,Communications,GEO,108.21,35776,35798,0.000261,0.07,1436.15,3582,10/2/2000,15,1005,,,
Intelsat 8,USA,Commercial,Communications,GEO,169,35774,35798,0.000285,0.02,1436.08,3592,11/4/1998,15,1006,,,
Arabsat 7F,Multinational,Commercial,Communications,GEO,44.5,35778,35794,0.00019,0.01,1436.09,3600,5/20/1999,12,1007,,,
Nimiq 2,Canada,Commercial,Communications,GEO,-91.25,35779,35793,0.000166,0.01,1436.08,3600,12/29/2002,12,1008,,,
XTAR-EUR,Spain,Military/Government,Communications,GEO,29.03,35778,35792,0.000166,0.1,1436.06,3631,2/12/2005,15,1009,,,
Astra 2A,Luxembourg,Commercial,Communications,GEO,28.16,35776,35797,0.000249,0.08,1436.12,3635,8/30/1998,15,1010,,,
Intelsat 701,USA,Commercial,Communications,GEO,179.94,35775,35797,0.000261,0.01,1436.08,3642,10/22/1993,15-Oct,1011,,,
Intelsat 702,USA,Commercial,Communications,GEO,47.5,35776,35796,0.000237,0.02,1436.1,3642,6/17/1994,15,1012,,,
Astra 2C,Luxembourg,Commercial,Communications,GEO,28.21,35768,35804,0.000427,0.07,1436.12,3643,6/16/2001,15,1013,,,
Intelsat 9,USA,Commercial,Communications,GEO,-58,35782,35792,0.000119,0.01,1436.14,3659,7/28/2000,15,1014,,,
Spektr-R/RadioAstron,Multinational,Government,Space Science,LEO,0,1000,330000,0.957,51.46,11520,3660,7/18/2011,5,1015,,,
Echostar 3 ,USA,Commercial,Communications,GEO,-61.46,35783,35790,8.30E-05,0.02,1436.11,3674,10/5/1997,12,1016,,,
Spainsat,Spain,Military,Communications,GEO,13.06,35745,35826,0.000961,0.06,1436.1,3680,3/11/2006,,1017,,,
Astra 1H,Luxembourg,Commercial,Communications,GEO,-67.6,35776,35794,0.000213,0.06,1436.04,3690,6/18/1999,15,1018,,,
AsiaSat-6,China,Commercial,Communications,GEO,120,35783,35793,0.000119,0.07,1436.17,3700,9/7/2014,15,1019,,,
BermudaSat-1,USA,Commercial,Communications,GEO,-96.2,35775,35798,0.000273,0.07,1436.12,3700,7/14/2000,12,1020,,,
NSS-806,Netherlands,Commercial,Communications,GEO,-40.45,35779,35794,0.000178,0.03,1436.11,3720,2/19/1998,12,1021,,,
Syracuse 3A,France,Military,Communications,GEO,47.05,35778,35792,0.000166,0,1436.06,3725,10/13/2005,12,1022,,,
Sirius-1 (SD Radio 1),USA,Commercial,Communications,Elliptical,0,23783,47100,0.279,63.3,1418.5,3727,6/30/2000,15,1023,,,
Sirius 3 (SD Radio 3),USA,Commercial,Communications,Elliptical,0,6179,47086,0.62,63.4,994.83,3727,11/30/2000,15,1024,,,
Intelsat 10,USA,Commercial,Communications,GEO,68.52,35776,35796,0.000237,0.04,1436.08,3739,5/14/2001,15,1025,,,
Syracuse 3B,France,Military,Communications,GEO,-5.17,35772,35801,0.000344,0.03,1436.09,3750,8/11/2006,12,1026,,,
TianLian 1,China,Government,Communications,GEO,77.08,35769,35813,0.000522,0.06,1436.08,3750,4/25/2008,,1027,,,
AsiaSat-5,China,Commercial,Communications,GEO,100.5,35778,35795,0.000202,0,1436.11,3760,8/11/2009,15,1028,,,
XMM Newton,ESA,Government,Space Science,Elliptical,0,7079,114027,0.799,38.4,2872.15,3764,12/10/1999,10-Feb,1029,,,
ABS-3,Multinational,Commercial,Communications,GEO,146.06,35769,35802,0.000391,0.05,1436.07,3775,8/19/1997,15,1030,,,
Sirius 2 (SD Radio 2),USA,Commercial,Communications,Elliptical,0,12849,47048,0.471,63.3,1148.43,3792,9/5/2000,15,1031,,,
Beidou 2-14,China,Military/Government,Navigation/Global Positioning,MEO,0,21462,21591,0.00231,55,773.1,3800,9/18/2012,8,1032,,,
Beidou 2-15,China,Military/Government,Navigation/Global Positioning,MEO,0,21477,21574,0.00174,55,773.1,3800,9/18/2012,8,1033,,,
Beidou 2-16,China,Military/Government,Navigation/Global Positioning,GEO,80,35775,35799,0.000285,1.84,1436.11,3800,10/25/2012,8,1034,,,
Beidou 2-23,China,Military/Government,Navigation/Global Positioning,GEO,144,35776,35794,0.000213,1.84,1436.1,3800,6/12/2016,8,1035,,,
DirecTV-8,USA,Commercial,Communications,GEO,-100.81,35777,35796,0.000225,0.02,1436.1,3800,5/22/2005,12,1036,,,
Eutelsat Hot Bird 13A,Multinational,Commercial,Communications,GEO,33,35756,35815,0.0007,0.09,1436.06,3800,8/28/2002,12,1037,,,
LaoSat-1,Laos,Government,Communications,GEO,128.5,35788,35800,0.000142,0.1,1436.1,3800,11/20/2015,15,1038,,,
AsiaSat-7,China,Commercial,Communications,GEO,105.5,35782,35793,0.00013,0.02,1436.17,3813,11/25/2011,15,1039,,,
GPM Core Observatory,USA/Japan,Government,Earth Observation,LEO,0,392,409,0.00126,65.02,92.57,3850,2/27/2014,,1040,,,
Telstar 12,Multinational,Commercial,Communications,GEO,-14.99,35773,35799,0.000308,0.05,1436.09,3878,10/19/1999,13,1041,,,
AMC-6,USA,Commercial,Communications,GEO,-71.98,35778,35795,0.000202,0.05,1436.12,3901,10/22/2000,15,1043,,,
AMC-4,USA,Commercial,Communications,GEO,-100.99,35781,35791,0.000119,0.01,1436.1,3909,11/13/1999,15,1044,,,
Cosmos 2503,Russia,Military,Earth Observation,LEO,0,570,586,0.00115,97.7,96.1,4000,2/27/2015,5,1045,,,
Cosmos 2515,Russia,Military,Earth Observation,LEO,0,549,594,0.00324,97.62,96.1,4000,3/24/2016,5,1046,,,
Echostar 9/Galaxy 23,USA,Commercial,Communications,GEO,-121.02,35775,35797,0.000261,0.01,1436.08,4000,8/8/2003,13,1047,,,
USA 184,USA,Military,Earth Observation,Elliptical,0,1111,37564,0.709,63,684,4000,6/28/2006,,1048,,,
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),ESA/USA/Russia,Government,Space Science,Elliptical,0,6292,156833,0.856,53.95,4032.86,4000,10/17/2002,2,1049,,,
JCSat RA,Japan,Commercial,Communications,GEO,142.49,35780,35794,0.000166,0.04,1436.12,4000,8/21/2009,15,1050,,,
QZS-1,Japan,Government,Navigation/Regional Positioning,GEO,0,32618,38950,0.0751,40,1436,4000,9/11/2010,,1051,,,
SES-7,USA,Commercial,Communications,GEO,108.02,35783,35790,8.30E-05,0.03,1436.1,4007,5/16/2009,15,1052,,,
Telstar 11N,Canada,Commercial,Communications,GEO,-37.05,35774,35801,0.00032,0.04,1436.13,4010,2/26/2009,15,1053,,,
Echostar 7 ,USA,Commercial,Communications,GEO,-118.85,35782,35789,8.30E-05,0.01,1436.07,4027,2/21/2002,12,1054,,,
Eutelsat 5 West A,Multinational,Commercial,Communications,GEO,-4.93,35769,35805,0.000427,0.04,1436.08,4050,7/5/2002,15,1055,,,
Superbird-B2,Japan,Commercial,Communications,GEO,162.03,35779,35793,0.000166,0.01,1436.09,4051,2/18/2000,10,1056,,,
Galaxy-13,USA/Japan,Commercial,Communications,GEO,-126.97,35781,35790,0.000107,0.01,1436.07,4060,10/1/2003,15,1057,,,
MetOp-B,Multinational,Government/Civil,Earth Observation,LEO,0,819,822,0.000209,98.7,101.3,4085,9/17/2012,5,1058,,,
AMC-9,USA,Commercial,Communications,GEO,-82.95,35773,35798,0.000297,0.05,1436.08,4100,6/7/2003,15,1059,,,
Eutelsat 9A,Multinational,Commercial,Communications,GEO,-30.01,35775,35799,0.000285,0.07,1436.1,4100,3/11/2006,15,1060,,,
Galaxy-17,USA,Commercial,Communications,GEO,-91.01,35774,35799,0.000297,0.02,1436.1,4100,5/4/2007,15,1061,,,
Intelsat 25,USA,Commercial,Communications,GEO,328.5,35778,35793,0.000178,0.02,1436.1,4100,7/7/2008,16,1062,,,
Palapa D1,Indonesia,Commercial,Communications,GEO,150.97,35780,35792,0.000142,0.07,1436.09,4100,8/31/2009,15,1063,,,
Star 1 C1,Brazil,Commercial,Communications,GEO,-64.98,35703,35778,0.000891,0.03,1436,4100,11/14/2007,15,1064,,,
Star 1 C2,Brazil,Commercial,Communications,GEO,-69.93,35776,35796,0.000237,0.06,1436.1,4100,4/18/2008,,1065,,,
AsiaSat-4,China,Commercial,Communications,GEO,122.24,35784,35789,5.93E-05,0,1436.1,4137,4/12/2003,15,1066,,,
ABS-4,Multinational,Commercial,Communications,GEO,75,35780,35793,0.000154,0.01,1436.1,4143,3/13/2004,12,1067,,,
Intelsat 12,USA,Commercial,Communications,GEO,45.04,35776,35796,0.000237,0,1436.09,4167,10/29/2000,18,1068,,,
MetOp-A,Multinational,Government/Civil,Earth Observation,LEO,0,820,821,6.95E-05,98.7,101.3,4193,10/19/2006,5,1069,,,
AMC-15,USA,Commercial,Communications,GEO,-105.04,35777,35795,0.000213,0.04,1436.08,4200,10/14/2004,15,1070,,,
Beidou 3I-1S,China,Military/Government,Navigation/Global Positioning,GEO,107.48,35796,36781,0.0115,54.9,1461.81,4200,3/30/2015,8,1071,,,
Beidou 3I-2S,China,Military/Government,Navigation/Global Positioning,GEO,89.5,35606,35953,0.00412,55,1435.73,4200,9/29/2015,8,1072,,,
Beidou IGSO-1,China,Military/Government,Navigation/Global Positioning,GEO,118,35670,35893,0.00265,55.09,1435.82,4200,7/31/2010,8,1073,,,
Beidou IGSO-2,China,Military/Government,Navigation/Global Positioning,GEO,118,35717,35817,0.00119,55.23,1436.12,4200,12/17/2010,8,1074,,,
Beidou IGSO-3,China,Military/Government,Navigation/Global Positioning,GEO,118,35693,37872,0.0252,96.4,1435.93,4200,4/9/2011,,1075,,,
Beidou IGSO-4,China,Military/Government,Navigation/Global Positioning,GEO,0,35708,35879,0.00203,55.2,1435.1,4200,7/26/2011,8,1076,,,
